Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,2022-12-01T20:32:52.475000Z,2022-12-01T20:47:51.839000Z,2022-12-02T04:23:35.314000,2022-12-01T20:47:53.053901Z,900,C96TNGEC,278,English,29,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
APPROVED,2022-12-01T20:38:11.230000Z,2022-12-01T20:52:52.083000Z,2022-12-02T04:23:35.415000,2022-12-01T20:52:52.495031Z,881,C96TNGEC,151,"English, Polish",25,Female,White,Poland,Poland,Poland,Polish,No,Part-Time
APPROVED,2022-12-01T20:38:11.671000Z,2022-12-01T21:01:10.308000Z,2022-12-02T04:23:35.511000,2022-12-01T21:01:10.694486Z,1379,C96TNGEC,523,"Hungarian, English",25,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Unemployed (and job seeking)
APPROVED,2022-12-01T20:38:14.721000Z,2022-12-01T20:53:42.109000Z,2022-12-02T04:23:35.613000,2022-12-01T20:53:42.734121Z,928,C96TNGEC,385,"English, Italian",43,Female,White,Italy,Italy,Italy,Italian,Yes,Part-Time
APPROVED,2022-12-01T20:38:14.285000Z,2022-12-01T20:51:19.943000Z,2022-12-02T04:23:35.705000,2022-12-01T20:51:22.140303Z,786,C96TNGEC,296,"English, Polish",41,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
APPROVED,2022-12-01T20:38:23.528000Z,2022-12-01T20:54:39.861000Z,2022-12-02T04:23:35.802000,2022-12-01T20:54:40.209080Z,977,C96TNGEC,203,"English, Greek",21,Female,White,Greece,Greece,Greece,Greek,Yes,Other
APPROVED,2022-12-01T20:38:16.180000Z,2022-12-01T21:07:59.923000Z,2022-12-02T04:23:35.892000,2022-12-01T21:08:00.293386Z,1784,C96TNGEC,255,English,26,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
APPROVED,2022-12-01T20:39:43.647000Z,2022-12-01T20:51:28.497000Z,2022-12-02T04:23:35.985000,2022-12-01T20:51:29.519859Z,705,C96TNGEC,522,"Spanish, English",26,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time
APPROVED,2022-12-01T20:43:42.324000Z,2022-12-01T21:08:45.831000Z,2022-12-02T04:23:36.085000,2022-12-01T21:08:46.308967Z,1504,C96TNGEC,907,"Spanish, English",47,Male,White,Mexico,Mexico,Mexico,Spanish,No,Full-Time
APPROVED,2022-12-01T21:12:24.875000Z,2022-12-01T21:29:32.055000Z,2022-12-02T04:23:36.184000,2022-12-01T21:29:32.424925Z,1028,C96TNGEC,265,English,29,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
APPROVED,2022-12-01T21:11:56.883000Z,2022-12-01T21:24:30.688000Z,2022-12-02T04:23:36.283000,2022-12-01T21:24:31.236837Z,754,C96TNGEC,225,"Polish, English",26,Male,White,Poland,Poland,Poland,Polish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
APPROVED,2022-12-01T21:12:23.301000Z,2022-12-01T21:27:09.962000Z,2022-12-02T04:23:36.379000,2022-12-01T21:27:10.346944Z,887,C96TNGEC,352,"English, French, German, Italian, Polish, Russian, Spanish",53,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
APPROVED,2022-12-01T21:11:44.325000Z,2022-12-01T21:24:41.552000Z,2022-12-02T04:23:36.475000,2022-12-01T21:24:41.926827Z,778,C96TNGEC,319,"Polish, English",23,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
APPROVED,2022-12-01T21:13:35.022000Z,2022-12-01T21:23:49.957000Z,2022-12-02T04:23:36.572000,2022-12-01T21:23:50.391406Z,615,C96TNGEC,925,English,36,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
